"customer_id","customer_name","segment","region","city","state","postal_code"
"CG-12520","Claire Gute","Consumer","South","Henderson","Kentucky","42420"
"DV-13045","Darrin Van Huff","Corporate","West","Los Angeles","California","90036"
"SO-20335","Sean O'Donnell","Consumer","South","Fort Lauderdale","Florida","33311"
"BH-11710","Brosina Hoffman","Consumer","West","Los Angeles","California","90032"
"IM-15070","Irene Maddox","Consumer","West","Seattle","Washington","98103"
"PK-19075","Pete Kriz","Consumer","Central","Madison","Wisconsin","53711"
"KB-16585","Ken Black","Corporate","Central","Fremont","Nebraska","68025"
"GH-14485","Gene Hale","Corporate","Central","Richardson","Texas","75080"
"LC-16930","Linda Cazamias","Corporate","Central","Naperville","Illinois","60540"
"ON-18715","Odella Nelson","Corporate","Central","Eagan","Minnesota","55122"
"JM-15265","Janet Molinari","Corporate","East","New York City","New York","10024"
"BS-11590","Brendan Sweed","Corporate","West","Gilbert","Arizona","85234"
"KD-16270","Karen Daniels","Consumer","South","Springfield","Virginia","22153"
"KB-16600","Ken Brennan","Corporate","Central","Houston","Texas","77041"
"SC-20770","Stewart Carmichael","Corporate","South","Decatur","Alabama","35601"
"DN-13690","Duane Noonan","Consumer","West","San Francisco","California","94122"
"JC-16105","Julie Creighton","Corporate","South","Durham","North Carolina","27707"
"GM-14455","Gary Mitchum","Home Office","Central","Houston","Texas","77095"
"RB-19705","Roger Barcio","Home Office","West","Portland","Oregon","97206"
"PN-18775","Parhena Norris","Home Office","East","New York City","New York","10009"
"ER-13855","Elpida Rittenbach","Corporate","Central","Saint Paul","Minnesota","55106"
"GZ-14470","Gary Zandusky","Consumer","Central","Rochester","Minnesota","55901"
"CL-12565","Clay Ludtke","Consumer","Central","Urbandale","Iowa","50322"
"DK-13090","Dave Kipp","Consumer","West","Seattle","Washington","98103"
"GG-14650","Greg Guthrie","Corporate","South","Bristol","Tennessee","37620"
"SC-20725","Steven Cartwright","Consumer","East","Wilmington","Delaware","19805"
"TS-21610","Troy Staebel","Consumer","West","Phoenix","Arizona","85023"
"LS-16975","Lindsay Shagiari","Home Office","West","Los Angeles","California","90004"
"DW-13585","Dorothy Wardle","Corporate","East","Columbus","Ohio","43229"
"JD-15895","Jonathan Doherty","Corporate","East","Philadelphia","Pennsylvania","19140"
"HA-14920","Helen Andreada","Consumer","West","Pasadena","California","91104"
"JE-16165","Justin Ellison","Corporate","Central","Franklin","Wisconsin","53132"
"DB-13060","Dave Brooks","Consumer","West","Seattle","Washington","98115"
"TT-21070","Ted Trevino","Consumer","West","Los Angeles","California","90045"
"MJ-17740","Max Jones","Consumer","West","Seattle","Washington","98115"
"BM-11140","Becky Martin","Consumer","Central","San Antonio","Texas","78207"
"CS-12130","Chad Sievert","Consumer","West","Los Angeles","California","90004"
"DK-13150","David Kendrick","Corporate","Central","Decatur","Illinois","62521"
"MP-17470","Mark Packer","Home Office","East","New York City","New York","10035"
"VM-21685","Valerie Mitchum","Home Office","East","Westfield","New Jersey","7090"
"FH-14365","Fred Hopkins","Corporate","East","Philadelphia","Pennsylvania","19120"
"BS-11755","Bruce Stewart","Consumer","West","Denver","Colorado","80219"
"HK-14890","Heather Kirkland","Corporate","South","Franklin","Tennessee","37064"
"LE-16810","Laurel Elliston","Consumer","West","Whittier","California","90604"
"JH-15985","Joseph Holt","Consumer","Central","Saginaw","Michigan","48601"
"MS-17980","Michael Stewart","Corporate","Central","Dallas","Texas","75220"
"VW-21775","Victoria Wilson","Corporate","East","Medina","Ohio","44256"
"DS-13180","David Smith","Corporate","Central","Detroit","Michigan","48227"
"CS-12400","Christopher Schild","Home Office","South","Tampa","Florida","33614"
"DB-13120","David Bremer","Corporate","West","Santa Clara","California","95051"
"KL-16645","Ken Lonsdale","Consumer","Central","Chicago","Illinois","60610"
"DW-13480","Dianna Wilson","Home Office","Central","Lakeville","Minnesota","55044"
"LH-17155","Logan Haushalter","Consumer","West","San Francisco","California","94109"
"KC-16540","Kelly Collister","Consumer","West","San Diego","California","92037"
"DL-13315","Delfina Latchford","Consumer","East","New York City","New York","10024"
